id,name,original_name,first_air_date,last_air_date,number_of_seasons,number_of_episodes,status,in_production,genres,networks,origin_country,languages,vote_average,vote_count,popularity,homepage,poster_url,backdrop_url,providers_flatrate_CA,providers_rent_CA,providers_buy_CA,providers_ads_CA,providers_link_CA
226637,High Potential,High Potential,2024-09-17,2025-02-11,2,17,Returning Series,True,Drama|Crime|Mystery,ABC,US,en,8.02,298,27.0401,https://abc.com/show/a9a37c58-9d88-452f-9ac6-0a95e5a4176e,https://image.tmdb.org/t/p/w500/lMYflruVeOfnWiX4LwoQuOJNLHz.jpg,https://image.tmdb.org/t/p/w780/ijRiyqrXUzrF77INhtzvSS6V6qG.jpg,Disney Plus,,Apple TV,,https://www.themoviedb.org/tv/226637-high-potential/watch?locale=CA
549,Law & Order,Law & Order,1990-09-13,2025-05-15,25,524,Returning Series,True,Crime|Drama,NBC,US,en,7.406,629,112.8031,http://www.nbc.com/law-order,https://image.tmdb.org/t/p/w500/6vFL8S6Cci8s7SHWXz60xOisGBC.jpg,https://image.tmdb.org/t/p/w780/4uWvmON2pqDJtpPAsHMggdDFFrn.jpg,Crave|Club Illico|Citytvplus Amazon Channel|Citytvplus,,Apple TV|Amazon Video,,https://www.themoviedb.org/tv/549-law-order/watch?locale=CA
90,Mayday,Mayday,2003-09-03,2025-05-26,25,230,Returning Series,True,Documentary|Drama|Crime,5|Discovery|Sky History|National Geographic Channel|National Geographic,CA,en|fr|de|ja|ru|es,8.2,266,28.0688,http://www.discovery.ca/Shows/Mayday,https://image.tmdb.org/t/p/w500/2uuVIAb4MtPmMNTpOyID5V8DzrU.jpg,https://image.tmdb.org/t/p/w780/zocVz88wzfCd2y3RPKxI8qjhRKc.jpg,Amazon Prime Video|Crave|CTV|Amazon Prime Video with Ads,,,Tubi TV|Noovo,https://www.themoviedb.org/tv/90-mayday/watch?locale=CA
249023,North of North,North of North,2025-01-07,2025-02-18,2,8,Returning Series,True,Comedy,CBC Television|Aboriginal Peoples Television Network,CA,en|iu,6.793,29,2.3542,https://gem.cbc.ca/north-of-north,https://image.tmdb.org/t/p/w500/yAtcsq5ciJ6TBfGzM0b6BzVCaPA.jpg,https://image.tmdb.org/t/p/w780/w3mBUviE0R9jYHoPLP5IP8vAbJ8.jpg,Netflix|Netflix Standard with Ads,,Apple TV,CBC Gem,https://www.themoviedb.org/tv/249023-north-of-north/watch?locale=CA
246381,Prime Target,Prime Target,2025-01-22,2025-03-05,1,8,Returning Series,True,Drama|Action & Adventure,Apple TV+,GB,en,6.837,101,8.4612,https://tv.apple.com/show/umc.cmc.5hje8i3v25dzow2olljxetnus,https://image.tmdb.org/t/p/w500/bGYCimDXRL7cE3uETLZzMCFOdJo.jpg,https://image.tmdb.org/t/p/w780/bWZFMAEaO2Yfmy0ojRhsd39865U.jpg,Apple TV+|Apple TV Plus Amazon Channel,,,,https://www.themoviedb.org/tv/246381-prime-target/watch?locale=CA
8514,RuPaul's Drag Race,RuPaul's Drag Race,2009-02-02,2025-04-18,18,239,Returning Series,True,Reality,MTV|Logo|VH1,US,en,7.5,256,28.3253,https://www.mtv.com/shows/rupauls-drag-race,https://image.tmdb.org/t/p/w500/lgJvUN66DXJZyZjfYzbkwMAi1iI.jpg,https://image.tmdb.org/t/p/w780/hEtBwhqAzHKihQ1H9QD2kj8bJ5.jpg,Netflix|Crave|WOW Presents Plus|OUTtv Amazon Channel|Netflix Standard with Ads|OUTtv Apple TV Channel,,,,https://www.themoviedb.org/tv/8514-rupaul-s-drag-race/watch?locale=CA
67482,RuPaul's Drag Race All Stars,RuPaul's Drag Race All Stars,2012-10-22,2025-07-18,10,101,Returning Series,True,Reality,Logo|VH1|Paramount+,US,en,7.3,117,6.6104,https://www.paramountplus.com/shows/rupauls-drag-race-all-stars/,https://image.tmdb.org/t/p/w500/ArIu3xEo28LiKtiVWHNZdPFNZrM.jpg,https://image.tmdb.org/t/p/w780/emIR7nopXFsQILeBAFl49HJFoRq.jpg,Netflix|Crave|WOW Presents Plus|OUTtv Amazon Channel|Netflix Standard with Ads|OUTtv Apple TV Channel,,,,https://www.themoviedb.org/tv/67482-rupaul-s-drag-race-all-stars/watch?locale=CA
67564,RuPaul's Drag Race All Stars: UNTUCKED,RuPaul's Drag Race All Stars: UNTUCKED,2012-10-23,2025-07-04,7,74,Returning Series,True,Reality,Logo|VH1|Paramount+,US,en,5.7,23,1.9341,https://www.paramountplus.com/shows/rupauls-drag-race-all-stars-untucked/,https://image.tmdb.org/t/p/w500/5LpE4jiIXtzt42I5NdE0blyeiwr.jpg,https://image.tmdb.org/t/p/w780/lq8W1Yax0rwkpQyiRgSwo8M3lUs.jpg,WOW Presents Plus,,,,https://www.themoviedb.org/tv/67564-rupaul-s-drag-race-all-stars-untucked/watch?locale=CA
122692,RuPaul's Drag Race Down Under,RuPaul's Drag Race Down Under,2021-05-01,2024-12-20,4,32,Returning Series,True,Reality,Stan|TVNZ+,AU|NZ,en,5.2,25,2.9872,https://www.stan.com.au/watch/rupauls-drag-race-down-under,https://image.tmdb.org/t/p/w500/uWZPjouQgLs1lMVL0lu8P5J1jBc.jpg,https://image.tmdb.org/t/p/w780/nV9VruLiUkiqOYuQoY70UCdweVG.jpg,WOW Presents Plus,,,,https://www.themoviedb.org/tv/122692-rupaul-s-drag-race-down-under/watch?locale=CA
232821,RuPaul's Drag Race Global All Stars,RuPaul's Drag Race Global All Stars,2024-08-16,2024-10-25,2,12,Returning Series,True,Reality,Paramount+,US,en,5.5,5,1.7053,https://www.paramountplus.com/shows/rupauls-drag-race-global-all-stars/,https://image.tmdb.org/t/p/w500/jbtW0zyr2fwo6SEOLK9jbq7ihZZ.jpg,https://image.tmdb.org/t/p/w780/dYhpvGjWCIuINjCqPtY83Z5K8BF.jpg,Crave,,,,https://www.themoviedb.org/tv/232821-rupaul-s-drag-race-global-all-stars/watch?locale=CA
251306,RuPaul's Drag Race Live Untucked,RuPaul's Drag Race Live Untucked,2024-04-17,2025-05-21,2,12,Returning Series,True,Reality,WOW Presents Plus,US,en,0.0,0,0.8259,https://www.wowpresentsplus.com/rupaul-s-drag-race-live-untucked,https://image.tmdb.org/t/p/w500/2AOPwf6CLe37EdTx1wao9Le1NF7.jpg,https://image.tmdb.org/t/p/w780/eYLP1yo2L6bZKt3fm3bRYRlkGss.jpg,,,,,
92611,RuPaul's Drag Race UK,RuPaul's Drag Race UK,2019-10-03,2024-11-28,7,59,Returning Series,True,Reality,BBC Three,GB,en,7.2,55,8.901,https://www.bbc.co.uk/programmes/p07kt8b4,https://image.tmdb.org/t/p/w500/rffFiZHh5gWOefFZnJkuCr83qq5.jpg,https://image.tmdb.org/t/p/w780/AaJVYiHTFNeehKde1H4o57m4Gw8.jpg,Crave|WOW Presents Plus,,Apple TV,,https://www.themoviedb.org/tv/92611-rupaul-s-drag-race-uk/watch?locale=CA
155431,RuPaul's Drag Race UK vs The World,RuPaul's Drag Race UK vs The World,2022-02-01,2024-03-29,3,14,Returning Series,True,Reality,BBC Three,GB,en,6.1,17,1.0373,https://www.bbc.co.uk/programmes/p0bfgdvt,https://image.tmdb.org/t/p/w500/62tel7mkQN3n60W6UmDI6nsbkML.jpg,https://image.tmdb.org/t/p/w780/fsDaHL8Nz0Ao9EVZoTUOiYt78C0.jpg,Crave|WOW Presents Plus,,,,https://www.themoviedb.org/tv/155431-rupaul-s-drag-race-uk-vs-the-world/watch?locale=CA
38409,RuPaul's Drag Race: Untucked,RuPaul's Drag Race: Untucked,2010-02-01,2025-04-04,16,196,Returning Series,True,Reality,MTV|Logo|VH1|YouTube,US,en,6.2,48,8.3296,https://www.mtv.com/shows/rupauls-drag-race-untucked,https://image.tmdb.org/t/p/w500/35b9oBymLiEOUL9e3WRrJF6aDUK.jpg,https://image.tmdb.org/t/p/w780/xxgmphUJJOGwhKFKFU3aIKPv96O.jpg,Netflix|WOW Presents Plus|OUTtv Amazon Channel|Netflix Standard with Ads|OUTtv Apple TV Channel,,,,https://www.themoviedb.org/tv/38409-rupaul-s-drag-race-untucked/watch?locale=CA
95396,Severance,Severance,2022-02-17,2025-03-20,3,19,Returning Series,True,Drama|Mystery|Sci-Fi & Fantasy,Apple TV+,US,en,8.4,2146,34.9162,https://tv.apple.com/show/umc.cmc.1srk2goyh2q2zdxcx605w8vtx,https://image.tmdb.org/t/p/w500/pPHpeI2X1qEd1CS1SeyrdhZ4qnT.jpg,https://image.tmdb.org/t/p/w780/ixgFmf1X59PUZam2qbAfskx2gQr.jpg,Apple TV+|Apple TV Plus Amazon Channel,,,,https://www.themoviedb.org/tv/95396-severance/watch?locale=CA
260471,Shifting Gears,Shifting Gears,2025-01-08,2025-03-19,2,13,Returning Series,True,Comedy,ABC,US,en,6.1,45,3.7676,https://abc.com/show/0b64a2a5-a111-450a-a3c3-b0f8e69a2124,https://image.tmdb.org/t/p/w500/qQeNdPJ6QDvKCBtGHbTT4DvtuZR.jpg,https://image.tmdb.org/t/p/w780/x3dyx5hVfjTgfiRB24vf28Jagxr.jpg,Disney Plus,,Apple TV,,https://www.themoviedb.org/tv/260471-shifting-gears/watch?locale=CA
251941,St. Denis Medical,St. Denis Medical,2024-11-12,2025-04-29,2,20,Returning Series,True,Comedy,NBC,US,en,6.9,29,3.0652,https://www.nbc.com/st-denis-medical,https://image.tmdb.org/t/p/w500/2LVXrQVsEzLlekzNmxZqKa06CV3.jpg,https://image.tmdb.org/t/p/w780/kIqHPqHOZ2awhZzdiWnXyFER20W.jpg,Crave,,Apple TV,,https://www.themoviedb.org/tv/251941-st-denis-medical/watch?locale=CA
66732,Stranger Things,Stranger Things,2016-07-15,2022-07-01,5,42,Returning Series,True,Drama|Sci-Fi & Fantasy|Mystery,Netflix,US,en,8.596,18673,70.7513,https://www.netflix.com/title/80057281,https://image.tmdb.org/t/p/w500/uOOtwVbSr4QDjAGIifLDwpb2Pdl.jpg,https://image.tmdb.org/t/p/w780/56v2KjBlU4XaOv9rVYEQypROD7P.jpg,Netflix|Netflix Standard with Ads,,,,https://www.themoviedb.org/tv/66732-stranger-things/watch?locale=CA
28172,The Boys,The Boys,1993-08-20,1993-09-17,1,7,Ended,False,Comedy,CBS,US,en,0.0,0,0.7173,,,,,,,,
60603,The Curse of Oak Island,The Curse of Oak Island,2014-01-05,2025-05-20,14,232,Returning Series,True,Mystery|Action & Adventure|Reality|Documentary,History,US,en,7.283,145,11.08,https://www.history.com/shows/the-curse-of-oak-island/,https://image.tmdb.org/t/p/w500/gtkxUUmHDF31iDUOlxQqUXmiU71.jpg,https://image.tmdb.org/t/p/w780/5pN8ouV9pWL5M7pSbz22IEXtNO8.jpg,Crave|StackTV Amazon Channel|fuboTV,,Apple TV,Global TV,https://www.themoviedb.org/tv/60603-the-curse-of-oak-island/watch?locale=CA
222766,The Day of the Jackal,The Day of the Jackal,2024-11-07,2024-12-12,1,10,Returning Series,True,Drama|Action & Adventure|Mystery,Sky Atlantic|Sky Showcase,GB,de|es|en,8.168,743,31.2465,https://www.sky.com/watch/the-day-of-the-jackal,https://image.tmdb.org/t/p/w500/tYLecM3WSEjlkKhkGiH5G68Dprm.jpg,https://image.tmdb.org/t/p/w780/enVrO8TRkdT8dmYXTfI4sEjR5Kp.jpg,StackTV Amazon Channel|fuboTV,,,Global TV,https://www.themoviedb.org/tv/222766-the-day-of-the-jackal/watch?locale=CA
253372,The Institute,The Institute,2025-07-13,2025-08-24,2,11,Returning Series,True,Mystery|Sci-Fi & Fantasy,MGM+,US,en,7.807,83,24.7212,https://www.mgmplus.com/series/the-institute,https://image.tmdb.org/t/p/w500/7JXZdWifaa6wL0XLRi0GJOlOA8y.jpg,https://image.tmdb.org/t/p/w780/mcU5nwUqPJB6GeElDhKA68LKhqD.jpg,,,,,
84773,The Lord of the Rings: The Rings of Power,The Lord of the Rings: The Rings of Power,2022-09-01,2024-10-03,3,16,Returning Series,True,Action & Adventure|Sci-Fi & Fantasy|Drama,Prime Video,US,am|en,7.3,3407,43.4186,https://www.amazon.com/dp/B09QHC2LZM,https://image.tmdb.org/t/p/w500/kf5Hz70tjNAHg4swGDzOr9BfoZ1.jpg,https://image.tmdb.org/t/p/w780/ukewRnKD05Si7DkED2tSKBTXeEd.jpg,Amazon Prime Video|Amazon Prime Video with Ads,,,,https://www.themoviedb.org/tv/84773-the-lord-of-the-rings-the-rings-of-power/watch?locale=CA
84910,The Masked Singer,The Masked Singer,2019-01-02,2025-05-07,14,173,Returning Series,True,Reality,FOX,US,en,7.6,117,12.4823,https://www.fox.com/the-masked-singer/,https://image.tmdb.org/t/p/w500/sT0TpxenCsghbRZ7NiEJg2ubzZx.jpg,https://image.tmdb.org/t/p/w780/fvL8uPX0j3PF8FXHqGpJTfq0Qzu.jpg,Crave,,,Tubi TV,https://www.themoviedb.org/tv/84910-the-masked-singer/watch?locale=CA
129552,The Night Agent,The Night Agent,2023-03-23,2025-01-23,3,20,Returning Series,True,Action & Adventure|Drama|Mystery,Netflix,US,en,7.8,971,14.6982,https://www.netflix.com/title/81450827,https://image.tmdb.org/t/p/w500/4c5yUNcaff4W4aPrkXE6zr7papX.jpg,https://image.tmdb.org/t/p/w780/gklrevVndG98GHGDwfm8y8kxESo.jpg,Netflix|Netflix Standard with Ads,,,,https://www.themoviedb.org/tv/129552-the-night-agent/watch?locale=CA
101359,The Secret of Skinwalker Ranch,The Secret of Skinwalker Ranch,2020-03-31,2025-08-26,6,72,Returning Series,True,Reality|Documentary,History,US,en|fr,8.0,52,7.817,https://www.history.com/shows/the-secret-of-skinwalker-ranch,https://image.tmdb.org/t/p/w500/j8PpovebgIhrt89AQVvkogcX34v.jpg,https://image.tmdb.org/t/p/w780/6gdTUejzzULZFcPWVdITyHmN88X.jpg,StackTV Amazon Channel|fuboTV,,Apple TV,Global TV,https://www.themoviedb.org/tv/101359-the-secret-of-skinwalker-ranch/watch?locale=CA
70,This Hour Has 22 Minutes,This Hour Has 22 Minutes,1993-10-11,2025-03-25,32,491,Returning Series,True,News|Comedy,CBC Television,CA,en,6.608,51,3.8104,http://www.cbc.ca/22minutes,https://image.tmdb.org/t/p/w500/shWjVJtL7NBLcGiylwWwXLm9nlR.jpg,https://image.tmdb.org/t/p/w780/2z85pmHUqfkktqDuqaxksGSW8S8.jpg,,,Apple TV,CBC Gem,https://www.themoviedb.org/tv/70-this-hour-has-22-minutes/watch?locale=CA
211288,Tracker,Tracker,2024-02-11,2025-05-11,3,35,Returning Series,True,Drama|Crime,CBS,US,en,7.5,209,20.452,https://www.cbs.com/shows/tracker/,https://image.tmdb.org/t/p/w500/nU9zGHC1GRHVoTSTaKiRy1RljNd.jpg,https://image.tmdb.org/t/p/w780/uVnGusAwehV4WdxgKwFg0UJql1R.jpg,Disney Plus|Crave|Paramount Plus,,Apple TV,,https://www.themoviedb.org/tv/211288-tracker/watch?locale=CA
117488,Yellowjackets,Yellowjackets,2021-11-14,2025-04-13,4,29,Returning Series,True,Drama|Mystery,Showtime|Paramount+ with Showtime,US,en,7.5,855,9.836,https://www.paramountplus.com/shows/yellowjackets/,https://image.tmdb.org/t/p/w500/xRnGrn7Z7SC0KIBodocoU1QgDZF.jpg,https://image.tmdb.org/t/p/w780/ibFWJDWS8cTO6s2vZVd2uKDm8p.jpg,Crave,,Apple TV|Amazon Video,,https://www.themoviedb.org/tv/117488-yellowjackets/watch?locale=CA
