show_id,show_name,season_number,name,air_date,episode_count,season_poster_url
39416,Geordie Shore,2,Season 2,2012-01-31,10,https://image.tmdb.org/t/p/w342/caJ86GRV3unr7XrZq9C39AI0NEF.jpg
39416,Geordie Shore,3,Season 3,2012-06-26,8,https://image.tmdb.org/t/p/w342/kUMXAYQ5PLXnMqRpf3isttSVSC.jpg
39416,Geordie Shore,4,Season 4,2012-11-06,8,https://image.tmdb.org/t/p/w342/7GVqu2kwpRDUo6wW3QQpXP4vBNV.jpg
39416,Geordie Shore,5,Season 5,2013-02-19,9,https://image.tmdb.org/t/p/w342/vyCaRPPh2VNPAEOmDJSTTCUIiXu.jpg
39416,Geordie Shore,6,Season 6,2013-07-09,8,https://image.tmdb.org/t/p/w342/lvXOjExXjFvcRusCGrlua6gS24H.jpg
39416,Geordie Shore,7,Season 7,2013-09-17,6,https://image.tmdb.org/t/p/w342/uh6ejv9sGrvPWDg0ZlUJfidwLjg.jpg
39416,Geordie Shore,8,Season 8,2014-07-22,8,https://image.tmdb.org/t/p/w342/lZ30EQ79CbuRU7zpl3g9Mv0Oalm.jpg
39416,Geordie Shore,9,Season 9,2014-10-28,8,https://image.tmdb.org/t/p/w342/utqb8Dh8Y4wKQ3boyK99ZSu2zK1.jpg
39416,Geordie Shore,10,Season 10,2015-04-07,8,https://image.tmdb.org/t/p/w342/f4KCrSajxVncj6Y8HoqzXPEjths.jpg
39416,Geordie Shore,11,Season 11,2015-10-20,10,https://image.tmdb.org/t/p/w342/cNWiNZhYK4Q7ifmx9EeitNXTCOG.jpg
39416,Geordie Shore,12,Season 12,2016-03-15,8,https://image.tmdb.org/t/p/w342/h7ZLdWT8Xbj6ae2UcmBst3cM1jW.jpg
39416,Geordie Shore,13,Season 13,2016-10-25,10,https://image.tmdb.org/t/p/w342/b9gUzamrSHbUQ06851ZA4Ez38aZ.jpg
39416,Geordie Shore,14,Season 14,2017-03-28,12,https://image.tmdb.org/t/p/w342/2cDnsp1ePiHsh1xt1mPrNi2MAi0.jpg
39416,Geordie Shore,15,Season 15,2017-08-29,9,https://image.tmdb.org/t/p/w342/YU49k8H6t02Ny4ZjyTSPiOmaX.jpg
