show_id,show_name,season_number,name,air_date,episode_count
249023,North of North,1,Season 1,2025-01-07,8
249023,North of North,2,Season 2,,0
246381,Prime Target,1,Season 1,2025-01-22,8
8514,RuPaul's Drag Race,0,Specials,2011-11-13,39
8514,RuPaul's Drag Race,1,Season 1,2009-02-02,9
8514,RuPaul's Drag Race,2,Season 2,2010-02-01,12
8514,RuPaul's Drag Race,3,Season 3,2011-01-24,16
8514,RuPaul's Drag Race,4,Season 4,2012-01-30,14
8514,RuPaul's Drag Race,5,Season 5,2013-01-28,14
8514,RuPaul's Drag Race,6,Season 6,2014-02-24,14
8514,RuPaul's Drag Race,7,Season 7,2015-03-02,14
8514,RuPaul's Drag Race,8,Season 8,2016-03-07,10
8514,RuPaul's Drag Race,9,Season 9,2017-03-24,14
8514,RuPaul's Drag Race,10,Season 10,2018-03-22,14
8514,RuPaul's Drag Race,11,Season 11,2019-02-28,14
8514,RuPaul's Drag Race,12,Season 12,2020-02-28,14
8514,RuPaul's Drag Race,13,Season 13,2021-01-01,16
8514,RuPaul's Drag Race,14,Season 14,2022-01-07,16
8514,RuPaul's Drag Race,15,Season 15,2023-01-06,16
8514,RuPaul's Drag Race,16,Season 16,2024-01-05,16
8514,RuPaul's Drag Race,17,Season 17,2025-01-03,16
8514,RuPaul's Drag Race,18,Season 18,,0
67482,RuPaul's Drag Race All Stars,1,Season 1,2012-10-22,6
67482,RuPaul's Drag Race All Stars,2,Season 2,2016-08-25,9
67482,RuPaul's Drag Race All Stars,3,Season 3,2018-01-25,8
67482,RuPaul's Drag Race All Stars,4,Season 4,2018-12-14,10
67482,RuPaul's Drag Race All Stars,5,Season 5,2020-06-05,8
67482,RuPaul's Drag Race All Stars,6,Season 6,2021-06-24,12
67482,RuPaul's Drag Race All Stars,7,Season 7,2022-05-20,12
67482,RuPaul's Drag Race All Stars,8,Season 8,2023-05-12,12
67482,RuPaul's Drag Race All Stars,9,Season 9,2024-05-17,12
67482,RuPaul's Drag Race All Stars,10,Season 10,2025-05-08,12
67564,RuPaul's Drag Race All Stars: UNTUCKED,1,Season 1,2012-10-23,6
67564,RuPaul's Drag Race All Stars: UNTUCKED,2,Season 2,2020-06-05,8
67564,RuPaul's Drag Race All Stars: UNTUCKED,3,Season 3,2021-06-24,12
67564,RuPaul's Drag Race All Stars: UNTUCKED,4,Season 4,2022-05-20,12
67564,RuPaul's Drag Race All Stars: UNTUCKED,5,Season 5,2023-05-12,12
67564,RuPaul's Drag Race All Stars: UNTUCKED,6,Season 6,2024-05-17,12
67564,RuPaul's Drag Race All Stars: UNTUCKED,7,Season 7,2025-05-09,12
122692,RuPaul's Drag Race Down Under,0,Specials,2021-03-05,6
122692,RuPaul's Drag Race Down Under,1,Season 1,2021-04-30,8
122692,RuPaul's Drag Race Down Under,2,Season 2,2022-07-30,8
122692,RuPaul's Drag Race Down Under,3,Season 3,2023-07-28,8
122692,RuPaul's Drag Race Down Under,4,Season 4,2024-11-01,8
232821,RuPaul's Drag Race Global All Stars,0,Specials,2024-07-15,1
232821,RuPaul's Drag Race Global All Stars,1,Season 1,2024-08-16,12
232821,RuPaul's Drag Race Global All Stars,2,Season 2,,0
251306,RuPaul's Drag Race Live Untucked,1,Season 1,2024-04-17,6
251306,RuPaul's Drag Race Live Untucked,2,Season 2,2025-04-16,6
92611,RuPaul's Drag Race UK,0,Specials,2019-09-03,9
92611,RuPaul's Drag Race UK,1,Series 1,2019-10-03,8
92611,RuPaul's Drag Race UK,2,Series 2,2021-01-14,10
92611,RuPaul's Drag Race UK,3,Series 3,2021-09-22,10
92611,RuPaul's Drag Race UK,4,Series 4,2022-09-22,10
92611,RuPaul's Drag Race UK,5,Series 5,2023-09-28,10
92611,RuPaul's Drag Race UK,6,Series 6,2024-09-26,10
92611,RuPaul's Drag Race UK,7,Series 7,,1
155431,RuPaul's Drag Race UK vs The World,0,Specials,2022-01-18,2
155431,RuPaul's Drag Race UK vs The World,1,Series 1,2022-02-01,6
155431,RuPaul's Drag Race UK vs The World,2,Series 2,2024-02-08,8
155431,RuPaul's Drag Race UK vs The World,3,Series 3,,0
38409,RuPaul's Drag Race: Untucked,1,Season 1,2010-02-01,10
38409,RuPaul's Drag Race: Untucked,2,Season 2,2011-01-24,13
38409,RuPaul's Drag Race: Untucked,3,Season 3,2012-01-30,11
38409,RuPaul's Drag Race: Untucked,4,Season 4,2013-01-28,11
38409,RuPaul's Drag Race: Untucked,5,Season 5,2014-02-24,12
38409,RuPaul's Drag Race: Untucked,6,Season 6,2015-03-02,12
38409,RuPaul's Drag Race: Untucked,7,Season 7,2016-03-07,9
38409,RuPaul's Drag Race: Untucked,8,Season 8,2017-03-24,12
38409,RuPaul's Drag Race: Untucked,9,Season 9,2018-03-22,12
38409,RuPaul's Drag Race: Untucked,10,Season 10,2019-03-01,12
38409,RuPaul's Drag Race: Untucked,11,Season 11,2020-02-28,12
38409,RuPaul's Drag Race: Untucked,12,Season 12,2021-01-01,14
38409,RuPaul's Drag Race: Untucked,13,Season 13,2022-01-07,14
38409,RuPaul's Drag Race: Untucked,14,Season 14,2023-01-06,14
38409,RuPaul's Drag Race: Untucked,15,Season 15,2024-01-05,14
38409,RuPaul's Drag Race: Untucked,16,Season 16,2025-01-03,14
95396,Severance,0,Specials,2021-12-15,1
95396,Severance,1,Season 1,2022-02-17,9
95396,Severance,2,Season 2,2025-01-16,10
95396,Severance,3,Season 3,,0
